id,name,genre,grade,country,year,poster,time,description,orig_name,pivgrade,urllive,urlclub
289,Дотянуться до тебя / От меня к тебе дорама (2010),Мелодрама,8.93,Япония,2010,https://doramy.club/wp-content/uploads/2018/07/dotyanutsya-do-tebya.jpg,2 часа 8 мин,"Сюжет фильма «Дотянуться до тебя» разворачивается вокруг доброжелательной ученицы средней школы — Савако Куронума. Вот только вокруг нее ходит уж слишком много слухов и сплетен, которые больше похожи на выдумки, но тем не менее сильно усложняют жизнь девушки. Всему виной внешность Савако, ведь она так сильно напоминает героиню с фильма «Звонок». Она была изгоем, пока не подружилась с самым популярным школьным красавчиком — Шота Казехая. Он начал проявлять интерес к девушке и с ней начинают общаться другие ученики, которые всегда предпочитали держаться подальше от нашей героини. Вот только все усложняется, когда Савако влюбляется в своего лучшего друга Шота.",Kimi ni Todoke,2.7,https://doramalive.ru/dorama/dotyanutsya_do_tebya/,https://doramy.club/7283-dotyanutsya-do-tebya.html
290,Первая любовь миллионера дорама (2006),"Драма, Мелодрама",8.68,Южная Корея,2006,https://doramy.club/wp-content/uploads/2019/01/pervaya-lyubov-millionera.jpg,1 час 52 мин.,"Фильм «Первая любовь миллионера», снятый в комедийном жанре, расскажет о судьбе молодого студента Кан Джэ Кён, живущего в южнокорейской столице Сеуле. Кан Джэ Кён – парень активный, любит ночные клубы, танцы, а иногда становится зачинщиком мелких драк. Такое безответственное поведение объясняется его происхождением из семьи богачей. Всё ему сходит с рук! \
В преддверии 18-го дня рождения, Джэ Кён узнает, что наследство он получит только тогда, когда окончит старшую школу «Борам» в Кангвондо. Удручающим становится тот факт, что это школа находится на окраине страны, где жизнь идет совсем в другом русле. Во что бы то ни стало, Джэ Кён решает не сдаваться!",Baekmanjangjaui Cheotsarang,1.7,https://doramalive.ru/dorama/pervaya_lyubov_millionera/,https://doramy.club/10104-pervaya-lyubov-millionera.html
291,Ты мой питомец дорама (2011),"Комедия, Мелодрама",8.82,Южная Корея,2011,https://doramy.club/wp-content/uploads/2018/09/ty-moj-pitomec.jpg,1 час 50 мин.,"Романтичная комедия «Ты мой питомец» рассказывает о жизни молодой карьеристки Джи Ын Йи, занимающей, благодаря блестящему образованию заграницей, пост в отделе моды.\
Сидя в кафе с подругами они выводят формулу успешной семейной жизни, которая сводится к правильно выбранному мужчине. Подруги подшучивают над Джи Ын Йи, ведь из-за своей занятости, она не то, что семью, домашнего питомца не может завести. Но у судьбы свои причуды и Джи Ын Йи узнает об этом находя в коробке Кан Ин Хо.",You're My Pet,3.4,https://doramalive.ru/dorama/youre_my_pet/,https://doramy.club/8043-ty-moj-pitomec.html
292,Душа в смятении | Роковое путешествие дорама (2020),"Драма, Фэнтези",09.05,Китай,2020,https://doramy.club/wp-content/uploads/2020/04/dusha-v-smyatenii.jpg,1 час 22 мин,"История братьев Не Мин Цзюэ и Не Хуай Сина. Их клану угрожает опасность. Парни постоянно ссорятся и не могут найти общий язык. Однако, когда им угрожает опасность, они готовы на все ради друг друга. Братья, не задумываясь, могут пожертвовать собой. Со временем, преодолевая испытания вместе, они потихоньку начинают узнавать друг друга. Они понимают, что нужно оставить в прошлом свои консервативные взгляды и начать новую жизнь. Нужно заботиться друг о друге и о своих людях.",Fatal Journey,1.2,https://doramalive.ru/dorama/dusha_v_smyatenii/,https://doramy.club/18267-dusha-v-smyatenii-rokovoe-puteshestvie.html
293,Слепая дорама (2011),"Драма, Триллер",09.02,Южная Корея,2011,https://doramy.club/wp-content/uploads/2019/03/slepaya.jpg,1 час 50 мин,"Фильм «Слепая» начинается с трагических событий, когда главная героиня попадает в аварию и теряет не только свое зрение, но и родного брата. В течение нескольких лет Мин Су пребывает в состоянии депрессии. Но странная поездка на такси все-таки вынуждает ее вспомнить о своей детской мечте стать полицейским. Так, Мин Су возобновляет свое обучение на сотрудника полиции и параллельно начинает расследование своей поездки на такси, поскольку она убеждена, что есть состав преступления. Очевидец данного события Ки Соп утверждает, что это вовсе была не машина-такси. Ребятам предстоит разобраться с преступлением и найти правду, но не окажется ли цена истины слишком высокой?",Beulraindeu,1.4,https://doramalive.ru/dorama/blind/,https://doramy.club/11263-slepaya.html
294,Пираты дорама (2014),"Исторический, Комедия, Приключения",9.21,Южная Корея,2014,https://doramy.club/wp-content/uploads/2020/05/piraty.jpg,2 часа 8 мин,"Империя Мин провозглашает конец империи Корё и начало Чосон, а в знак доброй воли дарует символ независимости — государственную печать. Но морю нет дела до людских свершений, и когда корабль с дарами плыл к родным берегам, кит нападает на флот и разбивает корабль в щепки, заодно проглатывая ценнейшую печать. Боясь наказания посол скрывает этот факт и обвиняет в краже настоящих хозяев местных морей — пиратов. Под угрозой и шантажом властей капитан лучшего пиратского корабля — Е Воль вынуждена поймать этого кита. Тем временем прознав о столь ценном содержимом огромной рыбы беглый солдат, а ныне глава шайки горных разбойников — Чан Си Чжон тоже решает в ступить в бой с королем океана…",Haejuk,3.4,\N,https://doramy.club/19760-piraty.html
295,Наставница молодого повелителя теней дорама (2018),"Мелодрама, Мистика",8.16,Китай,2018,https://doramy.club/wp-content/uploads/2018/12/nastavnica-molodogo-povelitelya-tenej.jpg,1 час,"Главная героиня мистического фильма «Наставница молодого повелителя теней» обычная молодая девушка. Однажды она встречает надменного парня Дин Сицзэ и по ошибке обвиняет его в воровстве. Однако молодой человек оказывается сыном генерал-губернатора Гонконга и поняв свою ошибку героиня решает сбежать. Девушка и представить себе не могла, что судьба свела ее с наследником кровожадного рода вампиров графа Дракулы. Но так ли он страшен, как написано в древних легендах…",The Female Chief of the Shadow's King,2.2,\N,https://doramy.club/9787-nastavnica-molodogo-povelitelya-tenej.html
296,Мужчина и женщина дорама (2016),"Драма, Мелодрама",8.66,Южная Корея,2016,https://doramy.club/wp-content/uploads/2017/07/muzhchina-i-zhenshhina.jpg,1 час 55 мин,"Порой судьба преподносит сюрпризы, которые могут полностью изменить привычную жизнь. Однажды в небольшом городке Финляндии встречается мужчина и женщина. Все началось когда Сам Мин попала в снежную бурю и была вынуждена снять номер в местном отеле. Однако именно это событие сводит ее с мужчиной по имени Ги Хон, который точно так же был вынужден переждать неблагоприятные погодные условия. \
Удивительно, что эта пара встретилась столь далеко от родного дома, ведь именно здесь их сближает суровая буря за окном. Между главными героями появляются чувства симпатии, от которых никуда не деться. Вот только с наступлением следующего дня они расстараются и даже не обмениваются контактами. С этого момента Ги Хон и Сам Мин  все время думают друг о дружке и вспоминают те прекрасные часы проведенные вместе. И лишь спустя некоторое время им вновь суждено встретиться вместе, но на этот раз при совсем других обстоятельствах.",Namgwa yeo,2.4,https://doramalive.ru/dorama/a_man_and_a_woman_2016/,https://doramy.club/1190-muzhchina-i-zhenshhina.html
297,Скажи: Я люблю тебя дорама (2014),"Драма, Мелодрама",8.63,Япония,2014,https://doramy.club/wp-content/uploads/2018/07/skazhi-ya-lyublyu-tebya.jpg,1 час 42 мин,"Главная героиня романтического фильма «Скажи: Я люблю тебя» одинокая девушка Мей Тачибана. У нее нет друзей и подруг, а вся ее жизнь это работа и дом. Девушка сама решила вести жизнь отшельницы, и держаться подальше от каких любо отношений. Так продолжалось до тех пор, пока Мей не столкнулась на лестнице с красавчиком Ямато Куросаву. Он заинтересовался угрюмой девушкой, но наша героиня оставалась неприступной. \
Однажды вечером Мей возвращалась домой, а по ее следу шел незнакомый мужчина. Почувствовав опасность она решает обратиться за помощью к Ямато, который примчался по первому зову. Теперь ей будет крайне сложно отвертеться от этого красавчика.",Sukitte ii nayo,2.7,\N,https://doramy.club/7259-skazhi-ya-lyublyu-tebya.html
298,Брак по случайности дорама (2019),"Комедия, Мелодрама",07.01,Южная Корея,2019,https://doramy.club/wp-content/uploads/2021/04/brak-po-sluchajnosti.jpg,1 час 27 мин,"Отец Сон Сука — богатый бизнесмен. И, чтобы унаследовать состояние отца, Сон Суку нужно жениться. Поэтому в последней надежде на брак, он ходит на свидания вслепую.\
Хэ Чжу — в прошлом спортсменка, чья карьера пошла под откос из-за травмы ноги. Сейчас Хэ Чжу уже 30, и на неё давят все родственники и говорят, чтобы она быстрее выходила замуж. Поэтому она тоже ходит на свидания вслепую. Именно так и встречаются два героя, и узнав ситуации друг друга, они решают заключить фиктивный брак. Чем обернётся такое решение для обоих героев?",Eojjeoda Kyeolhun,1.2,https://doramalive.ru/dorama/accidental_marriage/,https://doramy.club/25350-brak-po-sluchajnosti.html
